Category,Disease,miR-548 identifier(s),Evidence class(es),Source as recorded,Reference(s),Association records
Autoimmune diseases,Behcet Syndrome,miR-548e-5p,E1,Springer Nature,"[73](Hassouna et al., 2022)",1
Autoimmune diseases,Mesangial Proliferative Glomerulonephritis,miR-548o-3p,E1,HMDD,"[72](Dai et al., 2023)",1
Autoimmune diseases,Multiple sclerosis,miR-548ac; miR-548ac-3p,E1,HMDD; HMDD; HMDD,"[33](Hecker et al., 2019); [32][33](Hecker et al., 2015); (Hecker et al., 2019);",2
Autoimmune diseases,Myasthenia Gravis,miR-548k,E1,HMDD,"[35](Li et al., 2018)",1
Autoimmune diseases,Systemic Lupus Erythematosus,miR-548m,E1,HMDD,"[34](Yang et al., 2022)",1
